num,dataset,variable group,Variable Type (SAS),core,variable,label,whereClause,dataType,length,fractionDigits,sasFieldName,codeList,displayFormat,role,mandatory,comment,method,methodName,note,lengthAsData,lengthAsCodeList,originType,originDescription,crfPages,VARIABLE_CODELIST
106,ADLB,Analysis Parameter Variables for BDS Datasets,Num,Perm,PARAMN,Parameter (N),,integer,2,,PARAMN,Parameter (N) - ADLB,,,No,Numeric code for PARAM,,,,,,Assigned,,,
107,ADLB,Analysis Parameter Variables for BDS Datasets,Char,Perm,PARCAT1,Parameter Category 1,,text,15,,PARCAT1,Parameter Category 1 - ADLB,,,No,,If ,MT.ADLB.PARCAT1,,,,Derived,,,
110,ADLB,Analysis Parameter Variables for BDS Datasets,Num,Cond,AVAL,Analysis Value,,float,6,2,AVAL,,,,No,,,,,,,Predecessor,LB.LBSTRESN,,
110,ADLB,Analysis Parameter Variables for BDS Datasets,Char,Cond,AVALC,Analysis Value (C),,text,8,,AVALC,,,,No,,,,,,,Predecessor,LB.LBSTRESC,,17.2@16.1@15.4@15.2@27.0@42.2@42.7@41.2@39.8@40.6@44.4@42.3@37.0@36.7@37.6@27.6@24.4@22.6@22.9@47.1@27.8@29.6@29.0@26.2@14.7@13.2@13.0@11.3@0.35@0.28@0.31@0.27@2.43@2.46@2.44@2.38@2.39@102.3@103.4@104.0@105.3@102.5@4.85@5.13@5.07@4.70@4.41@116.7@56.1@52.7@68.7@247.4@92.1@86.4@85.4@86.9@83.8@95@4.77@4.51@4.61@4.50@4.00@1.26@1.22@1.20@1.23@2.95@3.41@3.25@3.00@2.78@1.10@1.03@1.12@1.05@4.36@4.54@4.21@4.16@67.2@67.3@64.8@63.3@64.4@137.4@139.5@138.4@138.1@2.07@1.04@1.33@0.86@3.58@4.46@4.63@4.40@4.49@25.6@27.7@27.5@27.4@1.08@1.14@1.13@1.11@84.6@75.2@76.6@79.7@NEGATIVE@0.05@0.04@0.03@0.21@0.17@0.25@0.20@321@335@338@330@30.4@30.6@30.1@29.9@4.48@4.35@0.41@0.42@0.40@131.0@140.0@141.0@135.0@130.0@4.34@4.06@4.52@4.84@1.18@1.09@1.17@1.27@0.44@0.49@0.54@2.25@2.63@2.69@287@316@323@269@44.8@44.2@46.9@59.6@58.0@2.51@12.68@32.2@26.5@43.8@43.6@43.2@41.6@115.7@112.2@110.7@104.2@114.3@19.8@18.6@16.6@17.7@29.5@10.2@8.5@10.8@0.65@0.63@0.90@0.69@2.34@2.41@2.32@2.30@102.8@105.4@104.4@103.9@4.75@5.29@5.21@5.09@4.96@116.5@86.0@87.1@129.9@138.8@81.1@77.6@76.9@86.3@80.6@109@4.80@4.91@5.04@0.88@0.95@0.98@3.19@3.72@3.68@3.50@3.46@0.97@1.16@1.30@4.25@4.43@4.30@4.22@74.0@75.6@74.1@71.5@71.4@140.6@139.2@140.5@1.57@1.31@0.92@1.01@3.27@4.64@5.14@4.05@4.68@25.9@25.2@25.3@26.1@93.8@91.8@97.9@0.07@0.06@0.30@0.34@348@341@344@343@30.9@30.5@4.76@4.98@4.71@147.0@150.0@144.0@143.0@7.07@7.84@7.14@7.41@7.62@1.88@2.01@1.71@1.87@2.05@0.46@0.48@0.39@0.47@4.31@4.81@4.57@4.53@214@226@220@225@222@66.7@67.5@63.2@65.4@52.8@11.98@28.7@41.1@48.6@36.3@37.3@46.0@43.5@45.9@44.3@81.9@77.0@84.2@83.4@24.1@23.7@33.0@25.7@28.0@28.5@29.4@27.3@28.1@11.0@13.8@15.6@15.0@1.95@0.96@1.38@0.84@3.71@2.55@2.56@2.58@100.9@103.0@102.2@102.4@100.1@5.01@4.69@85.9@77.9@93.2@85.7@77.1@76.3@74.4@84.4@113@5.12@4.74@0.72@0.79@0.83@0.78@2.86@3.38@3.57@3.13@1.37@1.52@1.34@3.88@4.03@69.5@67.1@70.3@68.0@71.8@137.1@140.2@137.2@138.9@1.66@1.58@1.82@1.91@6.18@6.35@3.49@25.1@24.7@1.02@89.9@95.8@0.12@0.14@0.08@0.11@352@357@350@30.3@29.7@4.79@5.05@0.43@145.0@154.0@149.0@153.0@6.92@6.68@7.27@7.08@6.42@2.29@2.47@2.85@2.28@0.60@0.61@0.51@0.45@3.04@3.48@3.84@3.47@241@198@224@249@81.6@89.1@94.0@89.7@AUQ@26.0@26.4@32.7@44.7@44.5@43.9@61.6@56.4@58.8@63.4@21.5@19.5@22.4@20.6@31.2@50.3@33.1@19.0@1.45@0.56@2.45@2.42@100.5@101.2@102.1@100.3@100.7@6.30@6.65@6.97@6.67@6.02@178.1@82.6@88.8@179.5@126.4@87.0@85.0@87.3@84.5@86.5@4.92@4.32@4.42@1.29@1.48@1.35@4.18@0.82@4.67@69.3@72.5@73.2@135.2@137.5@137.3@1.00@1.06@6.85@7.34@5.08@24.9@88.1@100.0@0.01@0.02@0.09@332@28.8@5.22@5.53@5.80@5.38@5.32@0.50@156.0@159.0@171.0@158.0@157.0@4.17@5.24@5.37@1.76@2.26@1.99@0.23@0.37@0.33@2.04@2.50@2.52@2.54@217@213@212@191@215@73.6@77.7@93.7@76.1@5.69@36.8@28.9@42.8@40.8@41.5@40.7@45.5@64.9@67.6@25.4@20.9@23.9@29.8@31.6@31.7@32.3@32.6@10.5@2.79@0.76@0.77@0.71@2.31@2.33@101.5@101.7@4.82@5.66@5.25@6.03@227.0@90.0@93.4@145.1@131.2@68.6@65.2@69.8@5.28@1.49@1.54@1.62@3.11@3.60@3.42@3.93@0.94@4.27@4.24@4.86@4.62@69.1@68.4@73.3@140.4@139.0@138.3@139.7@1.24@4.83@5.23@3.09@23.8@24.5@24.3@0.99@110.0@104.9@109.2@106.8@0.15@0.18@0.16@319@324@331@327@322@26.7@26.9@27.1@5.35@5.45@5.78@146.0@9.84@6.86@7.53@6.21@6.57@1.79@2.10@2.19@0.59@7.12@3.80@4.26@3.40@3.52@211@207@204@61.9@105.9@65.6@21.85@16.3@21.4@21.1@43.3@43.4@45.2@60.8@64.3@66.8@54.6@18.7@22.7@28.3@30.8@11.2@13.3@14.5@12.5@5.93@2.27@2.36@2.40@99.9@98.7@3.91@64.1@105.0@136.0@65.0@58.6@58.9@66.1@124@4.33@4.65@2.64@2.83@2.73@2.70@1.07@0.93@3.99@4.19@4.09@70.0@68.3@71.1@70.9@73.0@135.8@134.3@135.7@137.0@136.9@1.46@3.33@3.59@3.83@2.82@2.80@24.8@81.5@82.0@80.3@0.10@346@363@358@349@345@31.8@31.4@31.3@4.93@4.66@5.03@155.0@7.74@10.91@5.90@11.20@1.68@1.63@1.73@1.59@0.64@8.56@3.34@8.67@279@256@242@45.4@59.3@58.2@61.2@4.78@TRACE-IN@22.2@30.7@118.9@128.7@133.0@122.5@124.4@23.0@25.5@27.2@12.7@11.7@0.58@2.35@2.37@106.7@104.7@4.97@5.85@5.40@5.68@129.7@115.1@115.9@144.3@84.7@88.9@78.3@83.5@4.56@4.60@0.81@1.19@4.10@4.12@67.4@69.9@67.9@140.1@139.6@1.47@1.97@1.64@3.12@3.89@24.6@89.8@89.5@87.5@0.19@342@29.1@29.2@4.88@5.34@142.0@5.95@5.91@6.14@6.39@5.89@1.67@1.61@0.57@3.63@3.69@3.62@3.81@3.66@223@231@68.5@85.2@71.7@1.32@21.54@19.7@23.4@45.7@46.3@48.1@58.4@55.1@56.9@17.5@16.4@17.0@22.1@13.6@16.2@21.62@3.16@2.49@2.59@99.3@103.6@99.4@3.94@3.36@134.0@72.2@189.3@117.0@73.9@69.2@64.7@70.6@5.48@1.25@72.9@70.8@69.6@67.7@75.8@137.7@137.9@1.28@1.94@1.55@3.51@26.8@26.6@26.3@25.8@94.3@91.5@0.13@337@326@4.47@4.28@0.38@128.0@125.0@7.70@7.63@7.64@7.59@2.67@0.66@4.13@300@353@298@57.7@16.48@21.2@17.3@19.4@15.5@14.8@42.9@39.1@41.7@42.6@95.1@80.0@82.8@73.5@84.3@99.0@23.3@21.9@28.4@24.2@19.6@19.2@22.3@20.0@0.32@2.24@2.22@104.1@103.3@5.64@5.74@5.27@49.8@65.3@123.4@49.4@43.1@47.9@107@5.36@1.42@1.21@1.36@20.4@18.5@3.75@3.23@4.01@4.55@68.2@68.9@139.1@136.5@134.9@139.9@0.87@2.97@3.56@98.8@96.3@93.9@92.0@318@30.2@4.29@4.37@122.0@132.0@138.0@5.62@4.94@2.16@2.03@2.76@1.93@1.89@239@265@240@236@51.8@50.6@53.2@66.80@1.39@POSITIVE@5.51@2+@1+@TRACE-LY@33.7@23.1@23.6@47.6@42.4@67.0@61.1@60.4@20.1@21.0@12.9@17.6@13.1@0.36@0.55@2.57@2.48@99.1@102.6@5.83@5.17@5.49@116.1@111.6@78.4@73.1@108.6@195.7@76.2@77.8@74.8@87.6@79.6@4.90@5.56@5.52@5.20@1.15@19.9@4.07@3.74@3.64@4.04@5.70@5.15@5.00@5.60@84.9@373@366@365@364@5.06@160.0@151.0@162.0@152.0@3.79@3.26@0.26@2.02@184@183@185@85.5@60.3@98.1@22.52@14.4@13.4@14.0@43.7@57.5@54.1@53.6@60.1@17.8@16.9@18.4@28.6@29.3@10.4@101.6@101.0@4.20@4.08@121.5@183.0@81.8@124.0@142.9@60.7@62.5@5.11@4.87@0.85@2.88@3.17@3.21@3.96@4.14@70.7@71.2@72.8@138.6@320@336@129.0@4.44@4.38@3.85@2.89@2.60@2.96@205@196@210@41.3@54.5@25.31@18.2@23.2@44.1@45.3@52.9@0.68@3.76@6.50@0.74@101.9@101.1@3.97@218.6@336.9@98.6@176.2@240.3@92.4@85.6@76.7@93.6@5.16@4.11@4.72@1.56@1.43@1.40@3.92@138.2@140.7@0.70@8.31@7.61@7.71@113.0@96.7@101.8@347@354@334@28.2@4.59@3.39@4.23@2.18@3.31@2.23@60.2@74.9@13.9@14.2@41.9@40.9@63.6@57.6@63.1@16.8@1.69@2.61@103.1@103.2@103.7@5.18@79.2@118.4@94.6@55.6@52.1@53.1@51.7@52.4@4.45@1.74@2.72@3.18@3.24@3.32@3.05@72.1@67.8@136.2@137.6@1.51@5.57@3.78@107.0@317@305@31.5@31.1@4.73@2.06@0.29@2.13@261@245@228@248@57.2@50.9@BLQ@58.95@0.52@65.9@35.5@35.4@37.8@46.5@53.5@50.5@62.8@62.2@34.1@10.3@101.4@99.7@5.71@5.50@229.5@295.6@121.3@150.6@199.5@65.5@65.1@66.4@2.20@2.21@3.02@2.77@66.5@72.6@135.1@315@328@325@6.04@7.66@6.64@7.04@257@258@233@263@76.4@91.9@17.9@20.7@54.9@54.8@47.5@19.3@14.1@27.9@12.4@100.2@101.3@6.26@6.10@6.55@6.37@6.05@124.1@96.9@53.7@171.9@68.8@1.70@1.75@3.95@62.7@66.3@138.5@5.76@339@5.59@5.84@172.0@164.0@6.76@7.19@2.08@4.89@2.75@206@190@200@59.8@49.5@48.3@48.9@61.3@5.54@562.3@280.6@258.5@273.5@360.9@391.2@63.8@1.50@1.41@3.77@3.44@70.2@136.4@138.7@139.8@0.89@23.5@20.8@89.2@333@1.44@2.81@2.71@182@170@169@186@47.8@49.7@46.4@50.7@10.72@12.3@11.5@11.1@14.9@42.5@51.1@49.1@57.4@19.1@20.5@18.8@12.1@102.7@169.9@118.1@66.6@88.0@83.6@84.0@81.2@2.94@2.91@2.99@3.73@140.9@139.4@137.8@141.4@0.73@0.75@6.25@359@362@3.98@3.90@1.72@2.87@50.2@32.5@2.17@2.12@18.0@18.3@45.8@48.4@45.6@48.5@48.8@21.7@102.9@99.6@5.72@5.79@166.2@245.0@127.0@262.6@408.2@80.7@4.15@1.53@1.65@3.55@3.35@74.3@136.3@4.39@5.73@78.9@80.8@4.99@161.0@5.26@5.46@1.96@1.81@2.92@216@230@34.6@10.94@33.3@14.6@12.0@15.8@127.5@216.6@90.1@83.1@112.6@87.8@3.67@0.24@0.22@105.2@102.0@283.5@290.6@538.4@233.7@159.7@414.6@75.9@72.4@71.6@3.15@136.7@139.3@136.8@134.6@136.6@0.62@1.60@6.56@7.91@7.21@7.87@6.62@329@148.0@6.22@22.76@5.43@20.08@3.53@3.87@232@243@193@209@46.40@44.9@44.6@95.0@78.8@16.0@107.1@106.2@105.6@5.42@123.3@73.7@76.0@107.9@69.7@60.6@5.77@5.19@5.55@6.06@3.65@3.54@3.82@3.70@68.1@141.7@141.8@141.1@141.9@6.32@7.26@7.35@163.0@2.84@3.22@2.93@1.80@1.92@1.86@51.5@55.4@49.3@54.3@17.17@48.2@20.2@105.7@5.58@5.67@5.97@77.5@75.7@52.6@64.2@55.2@7.31@62.4@63.5@61.5@134.7@109.9@97.3@351@32.1@3.61@3.86@177@173@50.1@61.8@46.6@55.7@48.7@55.5@77.4@13.7@104.5@186.0@222.7@209.7@311.0@103.8@62.9@59.9@0.53@70.1@340@31.9@4.02@2.65@208@219@57.9@46.8@15.07@73.4@66.0@7.37@6.84@7.46@7.44@8.30@340.0@156.5@113.1@82.5@5.39@5.47@5.33@5.30@6.08@2.14@244@267@34.2@51.6@104.3@143.4@105.5@74.6@64.5@7.06@5.65@66.9@6.93@4.95@1.84@400@252@281@282@56.6@32.8@8.48@77.2@105.1@100.6@6.98@6.82@159.5@133.2@116.2@183.2@160.9@120@5.02@1.83@63.7@65.8@140.3@6.91@7.38@4.58@10.44@8.27@2.74@221@202@71.3@72.7@110.4@61.7@3+@94.1@221.9@11.4@100.8@5.41@169.0@149.3@182.1@244.0@97.4@91.1@194.6@323.2@73.8@70.5@6.19@6.45@6.29@167.0@21.99@17.07@2.66@313@180@97.6@57.3@2.98@42.1@59.2@55.3@54.7@53.3@2.00@6.24@153.9@203.8@208.4@168.2@81.7@151.4@157.9@56.8@3.43@134.1@5.96@3.30@238@237@57.1@46.1@17.4@55.9@59.1@53.8@10.1@5.86@5.87@6.33@5.61@92.3@82.2@74.5@109.4@97.8@55.8@3.10@22.8@119.4@126.0@1.78@2.11@192@65.7@79.8@52.5@56.2@54.2@141.45@6.01@11.8@5.63@6.34@116.0@83.7@126.9@75.5@84.8@90.5@75.3@141.5@141.2@6.46@32.9@5.81@6.69@6.20@7.00@253@268@260@251@113.7@14.92@12.8@15.3@82.4@70.4@15.99@99.8@5.75@88.2@90.9@80.2@83.3@93.0@248.8@109.5@81.3@74.7@78.6@3.37@2.62@271@304@266@293@77.3@34.97@100.4@129.2@110.5@80.1@110.1@90.3@86.6@89.4@8.81@69.4@7.18@1.90@3.20@285@74.2@13.5@104.6@106.9@6.11@6.38@96.0@56.7@3.45@62.1@60.5@3.03@7.47@75.94@15.92@0.67@106.0@6.52@5.88@6.31@79.9@121.8@6.61@97.2@181@49.12@13.54@19.72@33.5@6.51@6.17@92.2@53.4@135.3@32.4@112.67@20.3@75.4@63.9@78.0@98.5@591.6@89.6@128.5@58.1@131.8@136.1@120.6@117.3@121.0@165.0@123.0@6.66@6.00@18.36@12.56@278@254@131.01@3.01@34.4@57.8@313.6@296.6@217.7@226.9@182.9@258.1@91.7@94.5@72.3@2.90@79.3@11.33@49.2@117.9@109.1@86.1@78.7@93.1@86.7@87.2@88.5@201@8.06@7.15@6.78@6.60@113.3@312.8@120.9@178.9@221.2@94.4@86.2@75.1@356@3.06@235@104.8@106.1@86.8@115.0@120.0@119.0@276@288@62.57@6.27@58.7@103.5@6.72@6.44@0.80@114.1@2.09@79.0@91.4@91.0@124.2@107.6@107.7@82.3@111.0@108.0@5.82@6.16@2.15@197@14.12@78.5@120.7@126.2@92.8@85.3@3.28@64.6@120.8@7.42@6.74@6.94@272@297@80.4@83.9@97.7@7.40@6.96@164.2@239.6@291.4@108.2@107.3@216.2@132.7@7.76@95.2@46.7@108.97@33.8@51.3@5.98@6.58@6.75@129.8@145.9@203.9@108.1@171.1@85.8@84.1@95.5@94.2@8.51@7.58@7.81@8.46@7.51@96.4@94.7@87.7@56.3@58.3@51.9@292.1@112.0@2.53@7.83@6.23@6.28@6.54@193.6@180.8@123.5@80.9@81.0@7.33@7.52@34.5@106.3@408.0@175.4@224.8@186.6@88.3@181.8@238.2@90.2@8.66@7.94@9.96@49.9@10.6@3.07@3.14@61.4@5.44@3.08@111.5@275.6@54.4@76.8@203.3@109.0@107.4@338.9@338.6@110.3@3.29@114.0@289@75.0@23.92@28.72@105.8@108.3@172.6@81.4@168.8@141.3@98.9@29.68@152.7@277.3@178.7@245.4@108.7@142.1@8.50@6.15@6.13@1.77@2669.5@153.3@362.5@147.5@115.6@193.1@87.9@8.23@188@59.4@46.2@270@51.2@54.95@12.09@47.2@106.5@357.2@142.7@142.3@26.67@194.1@5.10@140.8@174@8.43@117.8@201.4@169.1@47.7@115.4@6.99@10.78@355@97.1@9.17@49.6@6.43@109.8@153.6@151.6@90.8@90.7@117.1@6.89@167.6@159.4@154.7@6.47@7.10@7.16@6.53@7.02@99.2@96.1@144.6@213.8@361@6.49@8.13@93.5@96.5@7.75@8.38@9.51@8.58@7.29@8.64@92.6@187@118.2@124.7@133.1@133.8@149.8@347.5@325.7@130.8@152.9@380.1@287.4@80.5@142.5@94.9@17.93@93.3@130.2@8.70@8.29@8.33@98.0@133.9@131.1@133.4@76.5@108.83@121.9@240.5@240.6@221.6@152.3@166.0@78.2
114,ADLB,Analysis Parameter Variables for BDS Datasets,Num,Cond,BASE,Baseline Value,,float,5,2,BASE,,,,No,,"If AVISIT ne ""BASELINE"" or ABLFL=""Y"" then BASE = AVAL of the record with ABLFL=""Y"" within the subject and parameter",MT.ADLB.BASE,,,,Derived,,,
115,ADLB,Analysis Parameter Variables for BDS Datasets,Char,Perm,BASEC,Baseline Value (C),,text,8,,BASEC,,,,No,,"If AVISIT ne ""BASELINE"" or ABLFL=""Y"" then BASEC = AVALC of the record with ABLFL=""Y"" within the subject and parameter",MT.ADLB.BASEC,,,,Derived,,,
119,ADLB,Analysis Parameter Variables for BDS Datasets,Num,Perm,CHG,Change from Baseline,,float,6,2,CHG,,,,No,,AVAL - BASE,MT.ADLB.CHG,,,,Derived,,,
152,ADLB,Toxicity and Range Variables for BDS Datasets,Char,Perm,ANRIND,Analysis Reference Range Indicator,,text,6,,ANRIND,Reference Range Indicator,,,No,,"If ANRLO <= AVAL <=ANRHI then ANRIND = ""Normal"". Else if AVAL < ANRLO then ANRIND = ""Low"". Else if AVAL > ANRHI then ANRIND = ""High""",MT.ADLB.ANRIND,,,,Derived,,,NORMAL@HIGH@LOW
154,ADLB,Toxicity and Range Variables for BDS Datasets,Num,Perm,ANRLO,Analysis Normal Range Lower Limit,,float,4,2,ANRLO,,,,No,,,,,,,Predecessor,LB.LBSTNRLO,,
156,ADLB,Toxicity and Range Variables for BDS Datasets,Num,Perm,ANRHI,Analysis Normal Range Upper Limit,,float,5,2,ANRHI,,,,No,,,,,,,Predecessor,LB.LBSTNRHI,,
157,ADLB,Toxicity and Range Variables for BDS Datasets,Char,Perm,BNRIND,Baseline Reference Range Indicator,,text,6,,BNRIND,Reference Range Indicator,,,No,,Set to ANRIND of the baseline record identified by ABLFL,MT.ADLB.BNRIND,,,,Derived,,,NORMAL@LOW@HIGH
164,ADLB,Flag Variables for BDS Datasets,Char,Cond,ABLFL,Baseline Record Flag,,text,1,,ABLFL,No Yes Response - Y,,,No,,"Set to ""Y"" for the record with AVISIT=""Baseline"" and ARELTM closest to 0 within the subject and parameter",MT.ADLB.ABLFL,,,,Derived,,,Y
167,ADLB,Analysis Criterion y,Char,Perm,CRIT1,Analysis Criterion 1,,text,32,,CRIT1,Analysis Criterion 1 - General,,,No,,,,,,,Assigned,,,PCI value (outside normal range)
168,ADLB,Criterion y Evaluation Result Flag,Char,Cond,CRIT1FL,Criterion 1 Evaluation Result Flag,,text,1,,CRIT1FL,No Yes Response - Y,,,No,,,MT.ADLB.CRIT1FL,,,,Derived,,,N
172,ADLB,Analysis Descriptor Variables for BDS Datasets,Char,Cond,DTYPE,Derivation Type,,text,12,,DTYPE,Derivation Type - ADLB,,,No,"Set to ""MAXIMUM"" if AVISIT = ""Maximum post-baseline value""",,,,,,Assigned,,,MAXIMUM
173,ADLB,Flag Variables for BDS Datasets,Char,Cond,ANL01FL,Analysis Flag 01,,text,1,,ANL01FL,No Yes Response - Y,,,No,,"If AVISIT NE ""BASELINE"" then ANL01FL=""Y"". Else if AVISIT=""BASELINE"" then ANL01FL is set to ""Y"" for the record with ARELTM1 closest to 0 within the subject and parameter",MT.ADLB.ANL01FL,,,,Derived,,,Y
174,ADLB,SDTM Variable for Traceability,Num,,LBSEQ,Source Sequence Number,,integer,3,,LBSEQ,,,,No,,,,,,,Predecessor,LB.LBSEQ,,
175,ADLB,SDTM Variable for Traceability,Char,,LBSTRESC,Character Result/Finding in Std Format,,text,8,,LBSTRESC,,,,No,,,,,,,Predecessor,LB.LBSTRESC,,
176,ADLB,SDTM Variable for Traceability,Char,,LBSTRESU,Standard Units,,text,7,,LBSTRESU,Standard Units - ADLB,,,No,,,,,,,Predecessor,LB.LBSSTRESU,,
177,ADLB,SDTM Variable for Traceability,Char,,VISIT,Visit Name,,text,18,,VISIT,,,,No,,,,,,,Predecessor,LB.VISIT,,FINAL VISIT DAY 8@TREATMENT@SCREENING@FINAL VISIT DAY 15@FINAL VISIT DAY 29@FOLLOW-UP DAY 15@UNSCHEDULED 6.11@FINAL VISIT DAY 57@FOLLOW-UP DAY 29@UNSCHEDULED 8.11@UNSCHEDULED 7.01@FINAL VISIT DAY 85@FOLLOW-UP DAY 71@UNSCHEDULED 1.01@UNSCHEDULED 1.02@UNSCHEDULED 2.02@UNSCHEDULED 2.01@EARLY TERMINATION
178,ADLB,SDTM Variable for Traceability,Char,,LBTPT,Planned Time Point Name,,text,8,,LBTPT,Planned Time Point Name - LB,,,No,,,,,,,Predecessor,LB.LBTPT,,48 HOURS@24 HOURS@DAY -1
179,ADLB,SDTM Variable for Traceability,Char,,LBTPTREF,Time Point Reference,,text,31,,LBTPTREF,Time Point Reference - LB,,,No,,,,,,,Predecessor,LB.LBTPTREF,,END OF EXPOSURE TO STUDY DRUG@START OF EXPOSURE TO STUDY DRUG
1,ADMH,Identifier Variables for BDS Datasets,Char,Req,STUDYID,Study Identifier,,text,11,,STUDYID,Study Identifier,,,Yes,,,,,TRUE,TRUE,Predecessor,ADSL.STUDYID,,
2,ADMH,Identifier Variables for BDS Datasets,Char,Req,USUBJID,Unique Subject Identifier,,text,18,,USUBJID,,,,Yes,,,,,TRUE,,Predecessor,ADSL.USUBJID,,
3,ADMH,ADSL Identifier Variables,Char,Req,SUBJID,Subject Identifier for the Study,,text,3,,SUBJID,,,,No,,,,,TRUE,,Predecessor,ADSL.SUBJID,,
4,ADMH,Identifier Variables for BDS Datasets,Char,Perm,SITEID,Study Site Identifier,,text,2,,SITEID,Study Site Identifier,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.SITEID,,
5,ADMH,ADSL Subject Demographics Variables,Num,Req,AGE,Age,,integer,2,,AGE,,,,No,,,,,TRUE,,Predecessor,ADSL.AGE,,
6,ADMH,ADSL Subject Demographics Variables,Char,Req,AGEU,Age Units,,text,5,,AGEU,Age Units,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.AGEU,,YEARS
7,ADMH,ADSL Subject Demographics Variables,Char,Req,SEX,Sex,,text,1,,SEX,Sex,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.SEX,,M@F
8,ADMH,ADSL Subject Demographics Variables,Char,Req,RACE,Race,,text,41,,RACE,Race,,,No,,,,,FALSE,TRUE,Predecessor,ADSL.RACE,,WHITE@ASIAN@OTHER@BLACK OR AFRICAN AMERICAN
9,ADMH,ADSL Population Indicator Variables,Char,Cond,SAFFL,Safety Population Flag,,text,1,,SAFFL,No Yes Response - N/Y,,,Yes,,,,,TRUE,TRUE,Predecessor,ADSL.SAFFL,,Y@N
10,ADMH,ADSL Population Indicator Variables (Sponsor-Defined),Char,,PKFL,Pharmacokinetic Analysis Population Flag,,text,1,,PKFL,No Yes Response,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.PKFL,,Y
11,ADMH,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDT,Date of First Exposure to Treatment,,integer,5,,TRTSDT,,YYMMDD10.,,No,,,,,TRUE,,Predecessor,ADSL.TRTSDT,,
12,ADMH,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSTM,Time of First Exposure to Treatment,,integer,5,,TRTSTM,,TIME5.,,No,,,,,TRUE,,Predecessor,ADSL.TRTSTM,,
13,ADMH,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTSDTM,Datetime of First Exposure to Treatment,,integer,10,,TRTSDTM,,E8601DT16.,,No,,,,,TRUE,,Predecessor,ADSL.TRTSDTM,,
14,ADMH,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDT,Date of Last Exposure to Treatment,,integer,5,,TRTEDT,,YYMMDD10.,,No,,,,,TRUE,,Predecessor,ADSL.TRTEDT,,
15,ADMH,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTETM,Time of Last Exposure to Treatment,,integer,5,,TRTETM,,TIME5.,,No,,,,,TRUE,,Predecessor,ADSL.TRTETM,,
16,ADMH,Treatment Timing Variables for BDS (Taken from ADSL),Num,,TRTEDTM,Datetime of Last Exposure to Treatment,,integer,10,,TRTEDTM,,E8601DT16.,,No,,,,,TRUE,,Predecessor,ADSL.TRTEDTM,,
17,ADMH,Record-Level Treatment Variables for BDS Datasets ,Char,Cond,TRTP,Planned Treatment,,text,30,,TRTP,Planned/Actual Treatment ,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.TRT01P,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@80 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)@IV 0.45 mg MEDI0618@IV 1.35 mg MEDI0618@IV 4 mg MEDI0618@IV 12 mg MEDI0618@IV 40 mg MEDI0618@IV 100 mg MEDI0618@IV 200 mg MEDI0618
18,ADMH,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTPG1,Planned Pooled Treatment 1,,text,8,,TRTPG1,Planned/Actual Pooled Treatment,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.TRT01PG1,,Placebo@MEDI0618
19,ADMH,Record-Level Treatment Variables for BDS Datasets ,Char,,TRTA,Actual Treatment,,text,30,,TRTA,Planned/Actual Treatment ,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.TRT01A,,Placebo@0.15 mg MEDI0618 (intravenous)@0.45 mg MEDI0618 (intravenous)@1.35 mg MEDI0618 (intravenous)@4 mg MEDI0618 (intravenous)@12 mg MEDI0618 (intravenous)@40 mg MEDI0618 (intravenous)@80 mg MEDI0618 (intravenous)@200 mg MEDI0618 (intravenous)@100 mg MEDI0618 (subcutaneous)
20,ADMH,Record-Level Treatment Variables for BDS Datasets (Sponsor-Defined),Char,,TRTAG1,Actual Pooled Treatment 1,,text,8,,TRTAG1,Planned/Actual Pooled Treatment,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.TRT01AG1,,Placebo@MEDI0618
21,ADMH,Grouping Variables for BDS (Sponsor-Defined),Char,,COHORT,Cohort ,,text,23,,COHORT,Cohort,,,No,,,,,TRUE,TRUE,Predecessor,ADSL.COHORT,,COHORT 1 (INTRAVENOUS)@COHORT 2 (INTRAVENOUS)@COHORT 3 (INTRAVENOUS)@COHORT 4 (INTRAVENOUS)@COHORT 5 (INTRAVENOUS)@COHORT 6 (INTRAVENOUS)@COHORT 7 (INTRAVENOUS)@COHORT 8 (INTRAVENOUS)@COHORT 9 (SUBCUTANEOUS)@COHORT2@COHORT3@COHORT4@COHORT5@COHORT6@COHORT7@COHORT8
